song_id,valence_mean,valence_std,arousal_mean,arousal_std
112,6.8,0.98,6.4,1.56
113,5.4,1.28,3.8,0.87
114,4.8,0.75,5.7,0.9
115,8.4,0.66,7.8,1.17
116,4.4,1.56,3.9,1.22
117,3.9,1.45,5,1.73
118,4.9,1.92,4.6,1.85
119,4.3,2.28,3.2,1.25
120,3.8,1.6,5,1.61
121,3.1,0.83,3.9,1.51
122,5.5,1.91,4.6,1.85
123,6.1,1.58,6.2,1.47
124,3.7,1.27,2.8,0.75
125,4.5,1.86,4.2,1.33
126,5.1,1.64,6.1,1.37
127,3,1.84,5.3,1.68
128,3.6,1.43,4,1.55
129,4.2,1.72,6,1.67
130,3.3,1.42,4.2,1.33
131,6.1,1.04,4.9,1.64
133,2.8,1.99,2.2,1.17
134,5.4,1.74,6,1.18
135,3.7,2.24,3.5,1.43
136,6.8,1.33,6.2,1.08
137,4.3,1.68,5.8,1.33
138,3.8,2.64,2.4,0.92
140,4.2,1.47,4.5,2.01
142,4.6,1.8,4.8,1.72
143,4,1.73,4.9,1.45
144,3.4,1.11,4.7,0.9
145,3.1,1.92,5.4,1.91
146,2.4,1.8,3.5,1.91
148,4.7,1.19,5,2.05
149,3.4,1.85,3.1,1.92
150,5,2.45,5.4,2.2
151,4,1.95,4.5,1.28
152,4.4,1.62,5.6,1.43
153,3.9,1.92,4.5,1.69
154,4.2,1.66,4.1,1.87
155,3.6,1.96,5.4,0.92
156,6.4,1.2,6.7,0.46
157,4,1.67,6.2,1.08
158,2.1,0.7,3.6,1.43
159,3.8,2.56,3.1,1.81
160,3.5,2.11,3.5,1.57
161,6.3,1.19,3.5,1.91
162,3.7,1.68,4.6,1.02
163,3.6,1.28,4.5,1.36
164,4.1,1.7,2.9,1.97
166,3.1,1.45,4.2,1.08
167,2.7,1.35,3.3,1.62
168,3.3,1.35,3.4,1.56
169,2.4,0.8,2.8,1.08
170,3,1.55,5,1.48
171,2.1,0.7,3.6,1.74
172,3.8,2.23,5,2.24
173,4.6,1.69,2.2,1.17
174,4,1.61,3.8,1.4
175,3.7,1.35,4.3,1.55
176,2.4,1.62,3.9,1.58
177,4.8,1.4,5.6,1.74
178,2.8,2.09,3.7,2.1
179,5.2,2.04,6,1.95
180,4.8,1.89,5.9,1.37
181,3.7,2.1,2.5,0.92
182,2.2,0.87,3.7,2.05
184,3.6,1.85,3.4,1.11
185,4.9,1.92,4.6,1.36
186,3.7,1.68,4,1.61
187,2.5,1.86,3.7,1.95
188,4,1.55,3.3,1.55
189,6.5,1.63,7.1,1.58
190,2.8,1.83,3.1,1.3
191,5.1,2.02,6.3,1.9
192,5.8,0.6,6.1,0.54
193,4.1,1.81,3,1.34
194,2.7,1.79,4.7,1.27
195,4.2,1.94,2.7,0.78
196,4.3,1.68,4.5,1.63
197,2.2,1.4,2.8,1.33
198,1.9,0.7,3.3,1.79
199,5.3,1.49,5.7,1.27
201,3.7,1.49,4.8,1.54
202,4.6,1.36,5.2,1.4
203,3.5,1.96,4.8,1.66
204,3.6,2.01,2.2,0.98
205,3,1.41,4.5,2.01
206,2.3,0.78,2.6,1.02
207,4.8,2.09,4.8,2.44
208,4.8,2.04,6.5,1.02
209,3.1,0.94,4.6,1.85
210,4.2,2.14,5.5,2.16
211,3.1,1.22,4.9,0.83
212,4.6,1.56,5.4,1.8
213,2.6,1.5,2.5,1.63
214,3.6,1.96,4.1,1.58
215,3.2,2.09,2.6,1.2
216,4.5,1.57,5.3,1.1
217,3.5,1.57,4.8,1.6
218,2.9,1.37,4,1.48
219,2.4,0.8,3.8,1.47
220,4.1,1.51,3.4,1.02
221,4.3,1.55,3.4,1.8
222,3.8,1.33,4.3,2.37
223,2.2,1.08,3.5,2.16
224,5.5,1.5,5.7,1.79
225,3.7,1.85,4.2,1.6
226,4.9,1.7,5,1.55
227,3.1,1.14,3.5,1.5
228,3.5,1.63,4,1.26
229,4.8,1.6,4.8,1.47
231,4.1,1.45,5.6,1.69
232,2.5,1.75,2.7,1
233,4.7,1.49,4.5,1.8
234,3.5,2.38,3.9,1.45
235,3,1.1,3.7,1.35
236,2.5,1.5,2.4,1.2
237,4.2,2.09,3.9,1.3
238,3,1.95,4.6,1.8
239,2.3,1.9,3.3,1.55
240,6.4,1.36,6.6,1.02
241,4.1,2.12,4.6,1.36
242,3.5,1.75,4.7,1.55
243,7.2,1.4,4.1,2.17
244,4.3,1.35,4.2,1.66
245,4.2,1.99,6.1,1.58
246,4.9,2.66,3.2,2.04
247,3.9,1.22,4.5,1.28
248,3.4,1.56,3.7,1
250,3.4,2.06,3.6,1.36
253,6.6,1.56,2.5,0.81
254,5.3,2.28,7.4,1.11
257,7.6,1.5,6.9,1.7
258,4.3,1.35,4.3,1.35
260,5.3,1.42,3.6,1.62
262,5.6,1.5,6.9,0.94
264,5.3,1.27,5.5,1.5
265,4.5,1.69,6.4,0.66
266,3.6,1.5,4.8,1.94
269,4.3,1.73,4.8,1.94
270,6.1,1.64,7.1,1.64
272,5.9,1.81,6.4,1.85
273,5.4,1.74,7.2,0.87
274,7.7,0.9,6,2
275,5.3,1.42,5.5,1.02
276,6.1,1.51,5.3,1.68
278,5.5,2.06,5.1,1.64
279,3.6,1.2,4.7,1.42
280,4.2,1.66,3.3,1.1
281,5.4,2.29,7,1.18
282,3.2,1.66,4.2,0.75
284,4.4,1.5,5.2,1.17
285,3.5,1.02,5.1,1.37
286,5.7,1.95,6.9,1.87
288,3.5,1.86,5.2,1.78
289,5.7,1.9,6.7,1
290,2.1,0.83,3.9,1.58
292,7.3,1,7.4,0.92
293,6.3,1.62,4.2,1.94
294,5.5,2.11,6.5,1.91
296,5.9,0.94,5.7,1.27
297,3.1,1.3,3.6,1.36
298,4,1.73,5.4,1.69
299,2.8,1.89,4.3,1.27
300,6.8,1.08,4.5,1.86
301,3.2,1.47,3.7,1.73
302,6.6,2.2,7,1.48
303,7,1.1,6.4,1.74
304,3.8,1.78,4.6,1.69
305,6.4,1.11,6.8,0.98
306,5.7,2.19,6.7,1.73
307,6.1,1.04,6.8,1.4
308,4.3,1.68,6.6,0.92
309,5.3,1.68,5.8,1.78
310,2.1,0.83,2.7,1
311,5.8,1.6,6.9,0.94
312,4.6,1.28,5.8,1.6
313,3.6,1.36,5.3,1.27
314,5.8,1.17,5.9,1.22
315,6.4,1.43,7.5,0.81
316,2.8,1.33,3.5,1.96
317,6.1,1.7,4.3,1.35
318,5.9,1.7,5.9,1.45
319,4.5,1.96,6.6,0.8
320,7.4,1.28,6.6,1.43
321,7.3,0.78,6,1.73
322,6.1,1.22,7.6,1.02
323,4.82,1.4,5.73,1.48
324,3.3,1.68,4.7,1.42
325,5.5,1.75,5.4,2.06
326,5.4,1.56,7.2,1.25
327,6,1.34,7.1,1.3
328,5.2,1.6,4.2,2.09
329,3.3,2.28,4.2,2.23
330,5.9,2.3,3.1,1.87
332,5.5,1.12,6.9,0.83
333,6.7,1.55,6.1,1.7
334,5.9,1.64,5.9,1.92
335,6.8,1.47,6.8,1.33
336,6.1,1.51,6.6,1.5
338,3,0.77,3.8,1.47
339,5.9,1.58,6.9,1.14
340,3.8,2.36,4.6,1.91
341,3.8,1.78,4.4,1.69
342,4,2.05,5.1,2.12
343,7,1.73,8.1,0.83
344,4.6,1.74,5.2,1.6
345,7.2,1.54,6.5,1.86
346,6.7,1,7.3,1.55
347,3.82,0.94,5.82,0.94
348,5,1.55,5.7,1.73
349,4.6,1.69,5.8,1.89
350,6,1.9,6.5,1.8
352,5.5,1.36,4.5,1.43
